Name,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Quiz 6,Quiz 7,Quiz 8,Quiz 9,Quiz 10,Exam 1,Exam 2,Exam 3
Ronan Fitzgerald,80,74,75,58,93,82,100,71,85,70,64,68,95
Aleesha Bains,81,75,75,89,92,59,75,70,94,97,84,83,99
Roxy Calhoun,96,72,84,86,66,87,82,94,97,70,73,82,76
Kairon Duggan,62,60,96,71,60,61,76,98,76,64,97,68,81
Manraj Wilcox,87,76,68,57,63,72,79,98,66,69,60,100,95
Tillie Acevedo,62,70,95,61,81,82,67,71,85,67,75,80,57
Kaiser Head,76,93,71,98,85,72,100,76,99,98,61,82,98
Robyn Moses,60,78,76,60,59,92,96,60,99,79,95,76,93
Liya Montoya,94,95,90,75,60,87,87,85,58,95,90,79,70
Ariyan Levine,85,89,92,93,97,82,66,75,68,82,93,67,85
Hanna Kirk,95,81,64,66,94,98,70,100,80,95,97,79,96
Kaycee Ramos,59,82,82,66,96,68,59,78,80,55,65,63,72
Arslan Pennington,80,79,69,65,59,70,67,77,63,95,70,89,56
Lara Mcdonnell,94,73,98,64,66,92,67,95,89,56,61,86,76
Seren Kearns,56,92,73,63,94,84,84,77,64,67,56,96,57
Chris Corbett,79,55,77,61,96,55,68,70,65,57,98,84,85
Niall Barnett,76,95,61,60,60,65,78,64,72,98,73,82,78
Patrik Boyce,57,73,98,71,65,78,64,83,61,100,61,79,61
Michael Gibbons,67,66,78,73,89,85,96,81,67,74,70,72,90
Elaine Palacios,78,80,92,72,83,96,61,95,100,73,71,64,78
Eddie Beech,70,83,90,67,60,81,100,69,65,98,60,59,67
Nasir Lovell,74,63,83,70,61,62,88,69,87,62,59,99,60
Ainsley Osborn,99,96,69,93,87,75,61,61,84,92,88,91,64
Jaye Wolf,76,58,77,61,58,87,56,84,70,78,62,97,58
Tariq Fowler,98,67,74,91,90,61,74,77,81,87,72,68,81
Tanner Whitley,91,96,92,89,98,77,100,81,85,96,92,74,96
Ronaldo Nolan,73,94,93,78,67,81,79,82,86,96,66,88,72
Avleen Jefferson,57,98,76,67,63,89,62,69,91,97,94,100,59
Abdurrahman Dominguez,97,69,86,85,67,94,86,73,92,86,97,76,79
Isa Findlay,100,74,75,79,58,82,77,57,90,99,97,74,71
